User_ID,Gender,Age,Occupation,City_Category,Purchase
201,M,34,16,B,6905
202,F,54,11,B,17766
203,M,56,12,B,7999
204,M,45,9,C,18983
205,F,58,6,B,9288
206,M,52,13,A,13266
207,F,35,0,C,17586
208,F,31,16,B,3567
209,F,52,3,C,17110
210,M,58,4,B,18082
211,M,24,19,C,3094
212,M,58,6,B,13135
213,M,30,9,A,15508
214,M,35,16,B,14345
215,M,54,6,C,11684
216,M,30,0,C,8191
217,F,53,6,A,19842
218,M,48,10,C,10046
219,F,19,8,A,6934
220,M,33,11,C,16038
221,M,26,2,C,3354
222,M,26,3,A,8473
223,F,55,3,C,14794
224,F,28,12,C,4963
225,F,39,18,A,16503
226,F,50,9,B,5042
227,M,53,4,A,8973
228,F,40,6,C,9139
229,M,51,15,B,13226
230,M,26,0,B,8930
231,F,41,11,B,16762
232,F,25,1,A,7340
233,F,24,6,B,7111
234,F,53,10,B,5081
235,F,35,12,B,9802
236,F,20,1,C,11462
237,F,45,6,A,17580
238,F,23,14,A,19913
239,M,38,10,C,19465
240,F,45,1,B,9994
241,F,57,6,C,5531
242,M,18,3,C,11343
243,F,53,10,B,2716
244,M,38,1,B,8229
245,M,52,15,A,18588
246,F,30,6,B,14021
247,M,27,12,C,13301
248,M,27,4,C,6094
249,M,30,16,B,11524
250,M,54,11,A,12041
251,F,55,18,C,10103
252,M,41,6,B,17090
253,F,19,5,A,17915
254,M,39,7,A,10709
255,M,34,12,C,3438
256,M,53,4,C,17029
257,M,31,1,A,6517
258,F,27,8,A,12905
259,F,52,10,A,3244
260,M,42,5,B,4416
261,M,20,6,C,17293
262,F,55,6,A,8490
263,M,34,18,C,13683
264,M,29,5,C,7839
265,M,41,10,C,16850
266,F,46,10,A,14170
267,F,42,6,B,13967
268,F,53,1,A,7009
269,M,43,18,C,19966
270,M,55,3,A,16312
271,F,18,5,A,10924
272,F,37,16,C,17921
273,F,45,4,C,7721
274,F,33,6,A,10423
275,M,34,8,A,6930
276,F,57,0,A,6353
277,M,45,0,A,9832
278,F,29,18,B,18786
279,M,44,5,A,18448
280,F,59,17,B,9770
281,F,47,9,C,18556
282,F,58,10,B,17094
283,F,51,0,C,9935
284,M,54,0,B,4675
285,F,23,12,C,13240
286,M,24,4,A,6005
287,M,49,19,B,8544
288,M,49,0,B,19332
289,M,42,19,C,16388
290,F,50,2,C,16959
291,M,24,17,B,3694
292,M,29,8,C,16753
293,M,33,13,A,18526
294,F,33,16,B,8001
295,F,53,13,A,8652
296,F,30,3,B,16985
297,F,24,4,A,6581
298,M,53,16,B,7087
299,M,26,1,C,3460
300,F,49,4,B,5887
301,M,28,3,A,16878
302,M,25,3,B,10484
303,M,50,5,A,11835
304,F,40,19,A,17643
305,F,42,12,A,12910
306,M,25,4,C,19221
307,F,39,6,B,7846
308,F,21,19,A,10463
309,F,57,0,C,15336
310,F,20,13,A,4369
311,F,46,3,B,15992
312,M,58,16,C,2882
313,F,46,13,A,5171
314,M,51,15,A,4040
315,M,51,13,A,8372
316,F,45,15,B,9562
317,M,30,19,C,13776
318,M,32,7,C,7900
319,M,40,2,C,9965
320,F,43,18,A,10465
321,F,21,0,C,2589
322,M,43,1,A,7063
323,F,57,14,B,18240
324,F,26,9,C,3258
325,F,22,17,A,15598
326,F,49,13,C,4866
327,M,37,16,C,18955
328,M,28,12,B,10736
329,F,32,0,C,14704
330,F,49,4,B,2637
331,M,45,12,C,6882
332,M,39,13,C,17828
333,F,58,2,C,5672
334,M,34,14,C,14329
335,F,43,18,C,16967
336,F,24,16,C,6711
337,M,59,2,B,15235
338,M,43,15,B,2159
339,F,42,13,A,12144
340,F,27,11,C,16793
341,M,36,11,B,11923
342,F,28,10,C,7938
343,M,30,16,C,13354
344,F,25,7,B,11924
345,M,57,16,C,2580
346,M,21,19,B,6474
347,M,48,10,B,11941
348,F,45,1,A,9073
349,F,28,9,A,11662
350,M,18,9,A,7059
351,F,55,10,A,15457
352,M,41,5,C,6328
353,M,48,3,C,19778
354,F,58,11,A,2921
355,F,43,10,B,4773
356,M,22,12,B,6462
357,F,37,4,B,8733
358,F,58,5,B,13774
359,M,28,0,C,11310
360,M,50,5,B,3865
361,F,55,17,B,19108
362,M,44,8,A,2711
363,M,51,14,B,9710
364,F,32,7,C,15446
365,M,49,18,B,15394
366,M,38,15,B,2390
367,F,22,5,C,11262
368,F,23,5,A,6487
369,M,55,2,C,12620
370,M,39,9,A,15570
371,F,35,0,B,8066
372,F,31,13,A,6494
373,F,27,3,A,5572
374,F,30,11,A,14670
375,M,48,5,B,17939
376,F,47,10,A,18260
377,F,20,11,A,12249
378,M,47,9,B,4311
379,F,23,17,C,13071
380,M,46,6,C,8773
381,F,25,6,C,8905
382,F,50,10,B,5642
383,F,34,3,B,8338
384,M,28,19,C,18346
385,M,30,0,A,11622
386,F,28,12,C,17655
387,M,48,17,B,12105
388,M,45,8,A,8240
389,M,23,8,A,16797
390,M,58,8,B,9806
391,M,33,9,A,2757
392,M,21,1,C,8220
393,F,52,5,B,12104
394,F,43,14,B,16316
395,M,29,2,B,11326
396,F,28,10,B,10956
397,F,54,5,A,5497
398,F,42,2,B,11864
399,F,35,10,B,10774
400,M,36,14,A,16039
401,F,40,12,B,3821
402,F,55,19,A,19569
403,M,35,9,A,14717
404,M,43,5,B,12372
405,F,23,14,C,10380
406,F,21,17,B,3746
407,F,46,17,C,7797
408,F,51,6,A,18283
409,F,34,14,C,10089
410,F,33,17,B,14137
411,M,19,17,B,9597
412,F,51,19,C,8107
413,F,25,8,B,4793
414,M,30,1,C,13138
415,M,59,7,A,4500
416,M,25,19,C,15138
417,M,47,1,C,10361
418,F,49,10,C,6925
419,F,53,6,C,19464
420,F,47,5,A,6453
421,F,18,9,A,16779
422,F,56,4,A,14100
423,F,34,10,C,17162
424,M,37,0,A,3325
425,F,41,1,B,13369
426,M,39,0,A,12340
427,M,46,18,C,15408
428,F,39,1,B,3461
429,M,26,19,C,11594
430,F,54,3,B,2072
431,M,27,11,C,8030
432,F,53,19,C,9717
433,M,54,17,B,15331
434,F,45,0,A,15936
435,F,45,0,B,5576
436,F,59,13,B,10100
437,F,38,3,B,15612
438,F,41,4,B,7728
439,M,59,10,B,2032
440,M,57,12,C,12886
441,M,19,15,C,16078
442,F,25,12,A,6373
443,M,44,1,A,16468
444,F,39,15,B,15037
445,F,54,5,A,16461
446,M,44,13,A,4392
447,M,46,0,B,13063
448,F,20,16,C,19785
449,M,30,10,C,2817
450,F,27,18,A,8203
451,F,53,2,C,4438
452,F,26,10,C,19594
453,F,44,4,A,8641
454,F,51,16,B,18983
455,M,18,6,A,16026
456,M,49,9,A,19063
457,F,42,10,A,3835
458,F,46,2,B,14222
459,M,24,19,B,4177
460,M,20,9,B,10142
461,F,37,9,B,2148
462,M,37,13,A,19879
463,F,47,11,C,15105
464,M,52,14,A,3744
465,F,52,9,B,3646
466,M,56,9,C,11864
467,F,44,18,A,15666
468,M,43,0,C,5667
469,M,31,9,B,18960
470,F,34,1,C,13287
471,M,35,16,C,18302
472,F,46,6,B,15010
473,M,37,6,C,6779
474,F,44,19,A,10187
475,M,35,8,C,15029
476,F,21,1,A,4972
477,M,18,13,C,13140
478,F,18,16,C,16847
479,M,43,0,B,16423
480,F,37,8,B,3488
481,F,40,19,A,11127
482,F,27,18,B,11906
483,M,28,3,B,3802
484,F,58,7,B,17627
485,M,58,12,B,5520
486,F,22,3,B,7896
487,M,18,8,A,17244
488,F,34,8,A,5311
489,M,39,17,B,10009
490,M,51,11,B,13906
491,F,58,9,A,14227
492,M,46,10,C,7462
493,M,21,6,A,15060
494,F,22,8,C,5458
495,M,28,5,B,5730
496,M,38,18,B,9547
497,M,52,15,A,2027
498,F,29,14,B,17508
499,M,43,6,C,8423
500,F,36,15,C,14453
501,M,24,4,A,19557
502,M,24,15,C,18722
503,M,43,0,A,11260
504,F,57,18,A,17861
505,M,22,4,C,19225
506,M,38,6,C,14476
507,F,31,18,C,14938
508,M,21,4,C,18677
509,F,40,16,C,12049
510,F,59,7,C,7614
511,M,37,0,C,13683
512,F,32,1,B,13687
513,M,46,14,A,5801
514,F,25,19,A,10280
515,F,58,17,C,9376
516,M,36,10,A,12148
517,F,56,9,C,16060
518,F,45,3,B,19283
519,F,44,4,A,3744
520,F,21,3,A,13853
521,F,32,12,B,16663
522,M,52,12,B,3633
523,F,54,17,B,10149
524,M,18,1,A,16671
525,F,20,15,A,6701
526,M,41,0,B,15349
527,M,44,18,B,3013
528,F,57,8,B,18279
529,F,53,2,B,5299
530,F,51,6,B,3506
531,M,46,9,C,6803
532,F,41,0,B,19361
533,M,41,9,C,16760
534,M,59,8,A,12826
535,M,21,14,A,15821
536,F,20,14,C,15007
537,F,51,2,B,17786
538,M,40,4,A,11140
539,M,40,8,B,8798
540,F,22,8,B,18857
541,M,48,6,C,2567
542,F,58,11,A,13624
543,M,23,8,A,14215
544,F,54,5,C,9966
545,M,27,1,B,10120
546,F,57,8,B,18279
547,M,24,16,A,13336
548,F,56,0,C,6310
549,F,55,18,C,15187
550,M,38,5,B,16089
551,M,37,4,B,3982
552,F,20,1,C,3096
553,M,39,8,A,15582
554,F,21,13,B,8497
555,M,45,3,C,15545
556,F,29,3,C,13582
557,F,55,14,C,17378
558,F,53,7,A,12864
559,F,58,3,B,6279
560,F,22,15,B,19057
561,F,30,3,B,9312
562,M,40,15,A,17440
563,M,47,11,B,4369
564,M,54,15,B,18192
565,F,42,18,B,19450
566,F,44,7,B,7432
567,F,31,5,A,2687
568,F,53,9,C,15175
569,M,56,4,C,2068
570,M,33,17,B,12295
571,F,39,9,B,8774
572,M,38,9,B,18803
573,M,38,6,A,14190
574,F,25,17,B,12789
575,M,33,0,A,8891
576,F,48,6,B,12316
577,M,59,0,B,2439
578,F,27,14,C,19592
579,F,49,3,B,9466
580,F,51,19,A,19637
581,F,26,9,C,5209
582,M,34,8,A,5549
583,F,28,1,C,18998
584,F,49,13,A,5078
585,F,27,15,C,5490
586,M,39,0,A,5543
587,F,34,1,A,8751
588,M,21,6,B,16906
589,F,42,9,C,16425
590,M,38,19,C,13811
591,M,54,0,B,19578
592,F,55,12,A,8781
593,M,18,0,A,19762
594,F,42,4,C,17563
595,F,53,15,A,16797
596,F,34,14,C,19133
597,M,58,16,C,2300
598,M,41,15,A,6695
599,F,19,12,A,14174
600,F,57,10,A,18222
601,M,32,16,B,18661
602,F,49,16,C,12750
603,F,56,1,A,9307
604,F,23,12,B,15818
605,M,18,13,A,3389
606,M,40,10,C,10882
607,M,56,9,B,12040
608,F,34,2,C,8141
609,F,51,16,A,15110
610,F,58,14,A,7969
611,M,46,8,A,15162
612,F,26,9,B,11131
613,F,30,7,B,7037
614,F,23,12,B,16693
615,F,23,17,B,4451
616,M,37,4,A,2024
617,M,20,5,A,7962
618,F,34,16,A,4556
619,M,29,10,B,18444
620,M,18,19,B,9675
621,F,34,15,A,18506
622,F,20,8,A,7616
623,M,43,1,B,12294
624,F,32,4,C,19570
625,M,53,0,A,16010
626,F,49,3,A,15394
627,M,49,3,A,11922
628,F,21,2,B,6089
629,M,35,8,A,16448
630,M,36,11,A,4472
631,M,52,9,A,12469
632,F,57,1,A,9450
633,M,31,10,A,4964
634,M,50,9,C,10104
635,F,31,5,C,19694
636,F,51,17,A,4212
637,M,21,1,A,11454
638,M,41,1,A,8792
639,F,46,9,A,11554
640,F,36,15,B,10703
641,F,23,11,B,15219
642,F,50,0,B,17399
643,F,57,7,C,9660
644,M,36,15,A,3702
645,F,18,17,B,18774
646,M,22,12,A,19038
647,M,44,14,A,6271
648,M,33,11,C,10955
649,F,23,7,C,13459
650,M,57,9,B,8674
651,M,30,13,B,19469
652,F,52,4,C,7446
653,M,36,17,C,3963
654,M,29,18,A,11977
655,F,33,14,A,12466
656,M,27,5,B,7177
657,M,42,10,B,13160
658,M,37,10,C,6572
659,F,48,19,B,9543
660,F,21,19,A,10907
661,F,40,17,C,18626
662,M,19,17,A,8510
663,M,39,9,C,19221
664,F,54,1,C,5323
665,M,25,8,A,11537
666,M,24,13,B,12615
667,F,31,18,B,3432
668,F,20,9,B,9655
669,M,33,3,B,10431
670,M,36,5,A,10330
671,M,35,13,C,13385
672,F,33,3,A,10611
673,F,25,14,B,15872
674,F,50,15,B,18687
675,F,29,6,A,4162
676,M,28,16,C,8486
677,F,22,18,A,6102
678,F,44,18,A,17948
679,F,29,16,A,12418
680,F,34,5,C,3168
681,F,23,10,A,2415
682,M,50,15,A,12905
683,M,22,7,B,15432
684,F,45,10,A,7243
685,M,31,6,B,18533
686,F,22,18,B,7899
687,F,50,9,B,2838
688,M,58,8,C,8144
689,M,36,3,B,11888
690,F,39,14,A,14531
691,F,22,12,A,17935
692,F,19,1,B,9466
693,M,47,1,B,17095
694,F,56,15,A,13193
695,F,21,8,B,3320
696,F,50,12,C,15264
697,M,30,2,B,14227
698,F,37,8,C,19907
699,F,24,12,C,7234
700,M,32,1,C,14070
701,F,40,7,B,8144
702,F,31,8,C,2552
703,M,40,15,C,18865
704,F,36,1,B,17969
705,M,46,5,C,2599
706,M,37,7,B,17098
707,F,46,4,A,16800
708,F,41,8,C,11356
709,F,35,0,B,14870
710,F,27,8,A,14424
711,M,58,9,C,3982
712,F,25,3,C,9830
713,M,43,2,B,4997
714,F,46,9,A,19070
715,F,27,14,B,13606
716,F,34,10,C,3759
717,M,19,13,C,9023
718,F,23,5,C,15892
719,F,22,11,C,17409
720,F,45,12,A,11529
721,F,58,16,A,2114
722,M,22,15,B,14149
723,F,35,2,B,18952
724,M,43,1,B,17701
725,M,37,10,C,11745
726,M,58,8,B,4689
727,M,44,2,A,4988
728,M,29,17,B,5151
729,M,24,19,B,13719
730,F,20,14,A,17658
731,M,27,13,A,11013
732,M,51,1,C,8345
733,M,42,16,A,5574
734,F,52,7,A,9838
735,F,33,9,B,19992
736,M,19,17,A,18943
737,F,41,18,C,15329
738,M,27,7,B,16823
739,M,55,7,C,7565
740,F,39,2,A,6435
741,M,43,2,C,7650
742,F,56,11,C,9436
743,F,44,16,A,5708
744,M,46,3,A,16451
745,M,55,16,B,3709
746,F,37,13,B,11953
747,M,44,18,B,3692
748,M,58,8,A,17523
749,M,37,11,C,16322
750,F,36,4,C,11437
751,F,37,10,B,2125
752,M,52,19,B,14944
753,F,19,2,A,3199
754,F,47,14,C,8092
755,F,51,13,B,18375
756,F,39,10,A,4711
757,F,20,19,B,11182
758,M,23,7,A,7995
759,M,32,3,C,10182
760,M,44,11,A,7502
761,F,27,7,B,14920
762,F,26,5,B,4565
763,M,50,14,C,12789
764,F,49,11,C,7024
765,M,23,15,B,3031
766,M,58,15,B,3241
767,M,53,19,B,3742
768,F,19,19,C,7709
769,F,46,3,B,16739
770,M,21,10,C,13830
771,M,18,12,B,15778
772,M,36,8,A,10160
773,M,43,3,A,14375
774,F,42,11,B,6403
775,F,27,8,A,6897
776,M,32,12,C,2163
777,M,39,15,A,5310
778,F,38,5,A,19379
779,F,39,9,C,16991
780,M,53,12,A,19732
781,M,51,6,A,4251
782,M,47,18,B,13092
783,F,42,18,C,8590
784,F,45,16,C,9658
785,F,18,12,B,18816
786,M,21,12,B,7247
787,M,24,1,A,9715
788,F,26,9,A,5817
789,F,53,12,A,19454
790,M,36,8,B,6600
791,F,18,0,C,11982
792,F,27,13,A,2994
793,M,53,15,B,6731
794,F,26,19,C,9670
795,M,59,14,B,19341
796,M,49,0,A,10287
797,M,49,16,B,19015
798,M,23,12,B,13876
799,M,55,14,B,19081
800,M,34,15,B,18415
801,M,27,15,C,17852
802,F,44,1,A,15490
803,M,52,16,C,7562
804,M,38,10,B,10740
805,F,42,7,B,4248
806,F,45,19,A,8192
807,F,32,2,A,11895
808,M,21,11,C,8406
809,F,46,19,C,3156
810,M,26,15,A,16318
811,M,44,13,C,10535
812,M,43,15,B,7295
813,M,36,16,B,14264
814,F,45,10,A,8154
815,F,34,16,C,11136
816,M,58,18,B,15213
817,M,59,0,A,14072
818,M,37,11,C,12242
819,F,57,14,B,5285
820,M,56,17,C,11522
821,M,40,13,C,4003
822,F,49,0,C,11979
823,F,50,12,A,12438
824,M,22,14,B,16227
825,F,51,6,A,5672
826,F,57,14,B,9458
827,M,28,19,B,5479
828,F,20,9,A,16887
829,M,50,13,A,2051
830,F,28,5,B,4159
831,M,33,13,B,6390
832,M,35,11,B,18080
833,M,47,10,C,4112
834,F,27,19,B,14752
835,M,35,18,A,16593
836,F,55,1,A,17339
837,M,36,19,A,3354
838,M,53,0,B,7620
839,F,30,7,B,5754
840,M,20,13,C,18593
841,M,27,8,C,18167
842,F,55,1,A,2237
843,M,18,4,C,10527
844,M,44,7,C,10075
845,M,25,15,A,19960
846,M,59,15,B,10691
847,F,34,12,C,11756
848,F,26,19,B,5540
849,M,23,14,A,11327
850,F,42,0,A,12540
851,M,56,2,C,9257
852,F,45,5,A,18533
853,M,50,13,A,13720
854,M,54,3,A,3624
855,M,26,17,C,9661
856,M,35,14,C,9529
857,M,38,8,C,15654
858,M,19,17,A,4108
859,F,55,2,B,5947
860,M,57,9,A,9899
861,F,53,16,C,15372
862,M,54,6,B,6914
863,F,32,14,B,8667
864,F,45,0,C,4263
865,F,35,10,B,5815
866,M,51,16,B,2577
867,M,39,4,C,17029
868,F,28,6,B,18806
869,M,30,18,B,4763
870,F,21,14,C,19613
871,M,39,2,B,17645
872,F,24,14,B,10945
873,F,41,4,B,19071
874,M,21,11,B,19106
875,F,45,19,C,15854
876,M,32,4,A,19130
877,F,18,2,A,4712
878,F,20,8,B,19091
879,M,31,8,C,17857
880,M,55,6,C,10626
881,M,18,1,B,15068
882,F,55,15,A,18867
883,M,55,8,B,16719
884,F,38,12,C,3533
885,F,46,18,C,18553
886,M,22,19,A,19404
887,M,27,16,C,9093
888,F,45,5,C,15156
889,F,38,3,C,19231
890,M,24,0,A,15785
891,M,20,17,C,17591
892,M,37,18,B,16694
893,M,36,8,A,5346
894,M,52,12,B,6013
895,F,21,7,B,2031
896,F,22,12,A,13156
897,F,18,14,B,12304
898,F,21,10,A,9877
899,M,29,11,B,8170
900,M,44,13,A,14078
901,M,59,3,C,4315
902,F,40,0,C,2065
903,F,42,3,B,14420
904,M,38,18,C,9533
905,M,41,8,A,16204
906,F,42,9,B,17317
907,F,49,3,C,17457
908,M,49,19,C,18968
909,M,22,8,B,7244
910,F,53,12,C,10154
911,M,59,11,C,13822
912,M,59,10,B,3892
913,M,56,11,C,9018
914,F,33,17,C,12621
915,F,50,11,C,2973
916,F,38,15,C,12834
917,F,26,4,B,8615
918,F,23,19,A,6329
919,F,52,11,A,3477
920,F,56,10,C,9329
921,M,39,8,C,8444
922,M,58,17,A,18385
923,M,22,2,C,13406
924,M,59,19,A,8843
925,M,40,16,B,7972
926,M,34,13,B,17295
927,M,29,0,B,7105
928,F,40,16,B,12931
929,F,33,7,B,9702
930,M,20,4,B,16136
931,M,47,4,A,4599
932,F,39,8,C,4235
933,M,26,2,A,7473
934,M,46,18,B,2018
935,F,54,8,C,2858
936,M,40,17,C,7380
937,F,30,15,B,5032
938,M,49,0,B,9471
939,F,40,1,B,6719
940,F,34,13,B,14943
941,F,57,13,B,6863
942,M,38,0,B,6038
943,F,19,15,C,4846
944,M,54,14,B,10064
945,M,23,14,B,13394
946,M,35,11,C,8622
947,M,47,15,A,14295
948,F,39,13,B,13782
949,F,50,14,C,3159
950,M,47,14,C,6626
951,M,34,18,A,5722
952,F,49,7,B,13630
953,M,59,1,B,13274
954,F,31,1,B,16888
955,M,27,9,C,8589
956,M,53,2,B,17473
957,F,51,16,B,4243
958,M,26,7,B,10177
959,F,59,3,B,3760
960,M,45,13,A,18202
961,M,28,9,A,7442
962,M,31,0,A,16965
963,F,56,3,B,5236
964,M,36,0,B,17611
965,M,32,16,C,10235
966,M,45,16,C,17829
967,M,41,6,C,10680
968,F,25,19,B,13340
969,F,26,14,A,11148
970,M,50,12,A,12306
971,F,50,1,A,19499
972,M,36,18,B,13018
973,M,20,12,A,13142
974,M,27,10,C,11546
975,F,57,14,C,5276
976,F,59,9,A,18832
977,F,18,8,C,18008
978,F,46,8,A,6172
979,F,51,19,A,15183
980,F,30,0,C,14836
981,F,18,16,C,10989
982,F,51,11,C,15740
983,F,46,9,C,15102
984,M,30,4,A,17357
985,F,46,17,C,17613
986,F,56,14,C,5326
987,F,41,5,B,2719
988,F,43,6,C,19906
989,F,34,16,C,3069
990,F,24,5,A,9749
991,F,30,7,A,14935
992,F,22,11,B,6887
993,F,43,13,C,13267
994,F,20,11,C,9944
995,F,24,9,C,17934
996,M,56,19,C,14747
997,M,18,14,C,12505
998,F,34,6,C,15449
999,F,42,8,B,13697
1000,M,20,9,C,6139
1001,F,32,9,C,17221
1002,M,46,15,C,9087
1003,M,49,6,B,2632
1004,M,43,4,C,4199
1005,M,33,2,B,16548
1006,M,42,17,A,13255
1007,F,45,10,C,19006
1008,M,26,14,B,8073
1009,F,18,19,A,18744
1010,F,46,4,B,12559
1011,M,39,11,B,18097
1012,M,33,3,A,10401
1013,F,58,14,C,13659
1014,M,58,8,C,11122
1015,M,24,6,B,15894
1016,F,31,9,A,2877
1017,F,46,12,C,15775
1018,M,36,7,B,12691
1019,F,36,11,A,18110
1020,M,19,18,B,4523
1021,M,58,0,A,14543
1022,M,32,15,C,8270
1023,F,20,16,C,7088
1024,F,28,17,B,9564
1025,F,47,10,C,9066
1026,F,57,17,C,8545
1027,F,35,6,A,4321
1028,M,19,17,C,15132
1029,M,49,7,A,10330
1030,M,25,5,A,10294
1031,M,39,6,B,15553
1032,F,23,9,A,7333
1033,M,29,10,C,9858
1034,F,57,12,A,7389
1035,M,53,8,A,5205
1036,F,32,6,B,4161
1037,F,45,8,C,19848
1038,M,35,12,C,2643
1039,M,19,2,C,16986
1040,M,30,2,A,13628
1041,M,32,0,C,7351
1042,F,37,19,C,6553
1043,M,46,1,A,8518
1044,M,59,2,B,7723
1045,F,46,14,B,9946
1046,M,20,5,A,2610
1047,M,36,12,B,6302
1048,M,20,0,B,3543
1049,M,31,19,B,3466
1050,M,57,18,C,11108
1051,F,21,0,B,16656
1052,M,28,1,C,8236
1053,M,48,14,B,15719
1054,M,49,13,C,19565
1055,M,44,18,A,11043
1056,M,47,10,A,6536
1057,F,19,14,B,19103
1058,M,26,5,C,12206
1059,F,45,19,A,5642
1060,F,48,8,A,14062
1061,M,51,4,A,18447
1062,M,32,19,A,15055
1063,M,42,1,B,2559
1064,M,53,5,C,3733
1065,F,25,17,A,10861
1066,M,26,18,B,3542
1067,M,54,8,A,11463
